"Mortality rate, infant (per 1,000 live births)"
"133","Honduras","45.1","..","37.0","..","30.5","..","24.6","..","19.9","..","19.1","..","18.4","..","17.8","..","17.1","..","16.6","..","16.0",".."
"45","Hungary","15.3","..","10.8","..","8.6","..","6.5","..","5.1","..","4.9","..","4.9","..","4.8","..","4.7","..","4.6","..","4.4",".."
"6","Iceland","5.0","..","4.1","..","3.2","..","2.4","..","2.0","..","1.9","..","1.8","..","1.7","..","1.7","..","1.7","..","1.6",".."
"130","India","88.4","..","77.8","..","66.6","..","55.7","..","45.5","..","43.5","..","41.6","..","39.7","..","37.9","..","36.2","..","34.6",".."
"116","Indonesia","62.0","..","50.6","..","41.1","..","33.5","..","27.5","..","26.5","..","25.5","..","24.6","..","23.7","..","22.9","..","22.2",".."
"60","Iran (Islamic Republic of)","44.1","..","35.7","..","28.2","..","21.6","..","16.5","..","15.8","..","15.1","..","14.6","..","14.0","..","13.5","..","13.0",".."
"120","Iraq","42.4","..","39.1","..","36.0","..","33.2","..","30.2","..","29.5","..","28.9","..","28.2","..","27.4","..","26.7","..","25.9",".."
"4","Ireland","7.7","..","6.1","..","6.0","..","4.4","..","3.5","..","3.4","..","3.4","..","3.3","..","3.2","..","3.1","..","3.0",".."
"22","Israel","9.7","..","7.2","..","5.6","..","4.5","..","3.7","..","3.5","..","3.3","..","3.3","..","3.1","..","3.0","..","2.9",".."
"28","Italy","8.4","..","6.4","..","4.8","..","3.8","..","3.4","..","3.3","..","3.2","..","3.1","..","3.0","..","2.9","..","2.8",".."
"97","Jamaica","25.2","..","21.8","..","18.8","..","17.0","..","15.6","..","15.2","..","14.8","..","14.4","..","14.0","..","13.6","..","13.2",".."
"19","Japan","4.6","..","4.1","..","3.3","..","2.7","..","2.4","..","2.4","..","2.2","..","2.1","..","2.0","..","2.0","..","2.0",".."
"95","Jordan","29.9","..","26.2","..","23.4","..","20.6","..","18.0","..","17.5","..","17.0","..","16.5","..","16.0","..","15.5","..","15.1",".."
"58","Kazakhstan","44.4","..","44.4","..","37.1","..","28.2","..","19.1","..","17.3","..","15.5","..","13.9","..","12.5","..","11.2","..","10.1",".."
"142","Kenya","63.4","..","67.1","..","62.8","..","51.8","..","42.5","..","41.3","..","40.6","..","39.6","..","38.2","..","36.5","..","35.6",".."
"134","Kiribati","69.3","..","60.3","..","53.3","..","49.4","..","48.2","..","47.3","..","46.5","..","45.6","..","44.6","..","43.6","..","42.4",".."
"n.a","Korea (Democratic People's Rep. of)","33.4","..","53.2","..","44.5","..","26.4","..","23.1","..","21.5","..","19.8","..","18.3","..","17.0","..","16.0","..","15.1",".."
"22","Korea (Republic of)","13.5","..","9.1","..","6.4","..","4.7","..","3.5","..","3.4","..","3.3","..","3.2","..","3.1","..","3.0","..","2.9",".."
